,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
185,499,1149.0,56.0,4.6,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
186,399,999.0,60.0,4.6,600.0,60.1,Men,Blue,Unknown,T-Shirt,Solid,Topwear
187,399,699.0,42.0,4.6,300.0,42.9,Men,Green,Unknown,T-Shirt,Solid,Topwear
188,499,1499.0,66.0,4.6,1000.0,66.7,Men,Grey,Unknown,T-Shirt,Graphic,Topwear
189,449,1099.0,59.0,4.6,650.0,59.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
190,399,999.0,60.0,4.6,600.0,60.1,Men,Black,Unknown,T-Shirt,Solid,Topwear
191,449,999.0,55.0,4.6,550.0,55.1,Men,Blue,Unknown,T-Shirt,Typography,Topwear
192,449,1199.0,62.0,4.6,750.0,62.6,Men,Blue,Unknown,T-Shirt,Typography,Topwear
193,499,1299.0,61.0,4.6,800.0,61.6,Men,Grey,Unknown,T-Shirt,Graphic,Topwear
194,499,1099.0,54.0,4.6,600.0,54.6,Men,Black,Unknown,T-Shirt,Graphic,Topwear
195,699,1599.0,56.0,4.6,900.0,56.3,Men,White,Unknown,T-Shirt,Solid,Topwear
196,399,999.0,60.0,4.6,600.0,60.1,Men,Green,Unknown,T-Shirt,Solid,Topwear
197,599,1399.0,57.0,4.6,800.0,57.2,Men,Grey,Unknown,T-Shirt,Graphic,Topwear
198,499,1149.0,56.0,4.6,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
199,399,999.0,60.0,4.6,600.0,60.1,Men,Blue,Unknown,T-Shirt,Solid,Topwear
200,599,1899.0,68.0,4.3,1300.0,68.5,Men,Brown,Oversized,T-Shirt,Typography,Topwear
201,399,999.0,60.0,4.3,600.0,60.1,Men,White,Unknown,T-Shirt,Solid,Topwear
202,599,1899.0,68.0,4.3,1300.0,68.5,Men,Lavender,Oversized,T-Shirt,Graphic,Topwear
203,599,1899.0,68.0,4.3,1300.0,68.5,Men,Beige,Oversized,T-Shirt,Typography,Topwear
204,799,2199.0,63.0,4.3,1400.0,63.7,Men,Black,Oversized,T-Shirt,Graphic,Topwear
205,499,999.0,50.0,4.3,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
206,699,1449.0,51.0,4.3,750.0,51.8,Men,Black,Oversized,T-Shirt,Solid,Topwear
207,449,1099.0,59.0,4.3,650.0,59.1,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
208,499,999.0,50.0,4.3,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
